iter	RMSE
0	9.0194694
1	8.655440177
2	8.321392163
3	8.023724458
4	7.717074776
5	7.467362623
6	7.242455718
7	6.985355023
8	6.800769474
9	6.593966377
10	6.450067884
11	6.323969855
12	6.146781867
13	5.984273045
14	5.824309067
15	5.728984351
16	5.633622071
17	5.495986731
18	5.399754741
19	5.284963923
20	5.217214663
21	5.145129289
22	5.093032298
23	5.001598826
24	4.949514264
25	4.882787531
26	4.847949978
27	4.816666851
28	4.77247811
29	4.734048899
30	4.709729102
31	4.682406118
32	4.647966341
33	4.628452988
34	4.59001126
35	4.574194149
36	4.536755004
37	4.509848136
38	4.490659684
39	4.47667059
40	4.442870836
41	4.418159188
42	4.403723615
43	4.388034009
44	4.372348824
45	4.35143041
46	4.344248747
47	4.330407566
48	4.314980381
49	4.308668181
50	4.289331534
51	4.283922289
52	4.279122094
53	4.274639324
54	4.26451042
55	4.260085262
56	4.252928644
57	4.247487884
58	4.240385577
59	4.23715091
60	4.225049151
61	4.216729357
62	4.213446674
63	4.199833334
64	4.194398771
65	4.191961253
66	4.186488788
67	4.178647604
68	4.176476664
69	4.173044548
70	4.166523619
71	4.164343101
72	4.159040898
73	4.155869992
74	4.1540443
75	4.150079057
76	4.147503207
77	4.145937291
78	4.144142554
79	4.134885102
80	4.133460908
81	4.132094123
82	4.118070779
83	4.113190418
84	4.111322579
85	4.110089162
86	4.104871539
87	4.103632184
88	4.092517536
89	4.091366569
90	4.09042141
91	4.080357993
92	4.07919795
93	4.078209763
94	4.077276776
95	4.07628332
96	4.075347702
97	4.073923883
98	4.072186796
99	4.065698688
100	4.064660142
101	4.064061153
102	4.059509328
103	4.058293056
104	4.049393743
105	4.048793327
106	4.046453599
107	4.043258262
108	4.042620455
109	4.040724353
110	4.037384384
111	4.033149077
112	4.03287354
113	4.032087885
114	4.031095053
115	4.030096238
116	4.028757791
117	4.028007186
118	4.022869461
119	4.021913815
120	4.02032116
121	4.018901479
122	4.016504134
123	4.012927936
124	4.006138757
125	4.000338394
126	3.996268238
127	3.994722338
128	3.994091234
129	3.991267848
130	3.990598403
131	3.989725798
132	3.988681796
133	3.984522476
134	3.983512754
135	3.982769878
136	3.982255491
137	3.978422895
138	3.976983534
139	3.97572755
140	3.97381537
141	3.973393447
142	3.972554899
143	3.972042191
144	3.971139818
145	3.970733367
146	3.969434437
147	3.968651067
148	3.967151216
149	3.965941098
150	3.965156939
151	3.964352094
152	3.963403481
153	3.962700573
154	3.962050272
155	3.960441109
156	3.960171284
157	3.958343583
158	3.956660535
159	3.954466832
160	3.953506563
161	3.952419239
162	3.951944605
163	3.950959785
164	3.950086779
165	3.948980853
166	3.947894828
167	3.947340389
168	3.946780843
169	3.945115354
170	3.943788733
171	3.943134962
172	3.941695911
173	3.941069062
174	3.940613146
175	3.939503913
176	3.938826208
