iter	Passed	Remaining
0	158	157860
1	168	83850
2	178	59392
3	188	46907
4	205	40973
5	227	37691
6	236	33610
7	248	30770
8	258	28484
9	268	26610
10	280	25261
11	293	24155
12	303	23021
13	313	22107
14	324	21315
15	333	20520
16	343	19844
17	355	19402
18	364	18837
19	375	18393
20	385	17965
21	395	17588
22	405	17233
23	415	16907
24	426	16648
25	439	16473
26	450	16251
27	462	16046
28	475	15905
29	489	15822
30	502	15703
31	519	15725
32	546	16020
33	566	16083
34	576	15891
35	586	15702
36	595	15496
37	605	15325
38	615	15157
39	623	14972
40	634	14844
41	644	14698
42	655	14579
43	665	14469
44	674	14318
45	685	14217
46	696	14116
47	705	13999
48	718	13940
49	752	14292
50	771	14349
51	781	14244
52	791	14133
53	799	14001
54	808	13890
55	817	13776
56	826	13665
57	835	13564
58	843	13460
59	854	13385
60	866	13332
61	877	13280
62	890	13241
63	903	13210
64	917	13201
65	932	13196
66	944	13154
67	957	13127
68	968	13068
69	983	13067
70	998	13062
71	1013	13061
72	1028	13056
73	1040	13025
74	1052	12984
75	1064	12938
76	1075	12894
77	1087	12851
78	1106	12897
79	1122	12909
80	1137	12901
81	1154	12926
82	1171	12946
83	1186	12939
84	1201	12936
85	1216	12929
86	1232	12937
87	1246	12920
88	1262	12921
89	1279	12938
90	1292	12910
91	1308	12911
92	1323	12907
93	1339	12907
94	1354	12907
95	1367	12880
96	1384	12889
97	1410	12984
98	1437	13080
99	1457	13115
100	1475	13130
101	1487	13100
102	1503	13089
103	1517	13074
104	1538	13112
105	1553	13098
106	1566	13076
107	1578	13038
108	1589	12991
109	1601	12954
110	1613	12923
111	1625	12891
112	1633	12820
113	1643	12772
114	1653	12728
115	1665	12688
116	1675	12644
117	1685	12600
118	1698	12573
119	1710	12542
120	1724	12524
121	1752	12613
122	1771	12629
123	1786	12621
124	1801	12608
125	1815	12589
126	1829	12576
127	1842	12551
128	1852	12508
129	1861	12459
130	1870	12406
131	1881	12371
132	1893	12341
133	1902	12293
134	1910	12243
135	1919	12196
136	1929	12155
137	1941	12128
138	1957	12124
139	1978	12153
140	1989	12119
141	1998	12072
142	2008	12036
143	2017	11992
144	2030	11974
145	2041	11939
146	2050	11897
147	2062	11871
148	2073	11842
149	2082	11801
150	2091	11760
151	2100	11720
152	2109	11677
153	2118	11639
154	2127	11600
155	2138	11571
156	2148	11538
157	2159	11507
158	2168	11467
159	2177	11429
160	2188	11403
161	2197	11368
162	2206	11329
163	2215	11291
164	2223	11254
165	2234	11223
166	2243	11189
167	2253	11160
168	2265	11140
169	2276	11113
170	2287	11088
171	2295	11051
172	2304	11016
173	2312	10979
174	2321	10942
175	2330	10910
176	2338	10873
177	2347	10838
178	2355	10803
179	2363	10767
180	2371	10731
181	2380	10700
182	2390	10671
183	2398	10638
184	2407	10606
185	2418	10583
