iter	RMSE
0	8.96140757
1	8.596077101
2	8.27044908
3	7.991057468
4	7.711492412
5	7.451630991
6	7.21960191
7	7.021792382
8	6.824262018
9	6.661959629
10	6.518398563
11	6.370819051
12	6.241583192
13	6.142273308
14	6.039862497
15	5.936266418
16	5.819007673
17	5.717537419
18	5.589068072
19	5.473865374
20	5.399008022
21	5.348962189
22	5.27359401
23	5.223795043
24	5.15373059
25	5.107473242
26	5.073801609
27	4.997499281
28	4.949352279
29	4.891623741
30	4.867470947
31	4.831064322
32	4.804276177
33	4.76806255
34	4.747121853
35	4.706814662
36	4.687867415
37	4.673322507
38	4.639913101
39	4.628016084
40	4.57689511
41	4.549654211
42	4.51123972
43	4.4980142
44	4.470933732
45	4.46307459
46	4.439396172
47	4.432666741
48	4.406395464
49	4.384241823
50	4.373764642
51	4.347255871
52	4.330553722
53	4.319881837
54	4.299570183
55	4.290375726
56	4.283724125
57	4.279939995
58	4.275005674
59	4.25960618
60	4.253086149
61	4.246308922
62	4.2383985
63	4.232373056
64	4.229361418
65	4.216866704
66	4.210064338
67	4.207259353
68	4.201064222
69	4.197308707
70	4.194832141
71	4.18896177
72	4.186163805
73	4.183673923
74	4.181616028
75	4.173785133
76	4.163666014
77	4.162211432
78	4.160462645
79	4.153062218
80	4.144903643
81	4.142578536
82	4.135901477
83	4.127100747
84	4.125336628
85	4.117411363
86	4.108044105
87	4.099757962
88	4.092390904
89	4.091199034
90	4.089283887
91	4.087540598
92	4.080667318
93	4.079510799
94	4.0779995
95	4.07663764
96	4.075494086
97	4.072358071
98	4.070861142
99	4.06934368
100	4.066072059
101	4.06040961
102	4.05911825
103	4.05736534
104	4.055918041
105	4.055058998
106	4.054029673
107	4.052965778
108	4.047808223
109	4.045320474
110	4.042241588
111	4.037429161
112	4.032390051
113	4.03126809
114	4.029044475
115	4.024845445
116	4.023917252
117	4.022745462
118	4.016959035
119	4.01591158
120	4.014740432
121	4.009492815
122	4.008617244
123	4.007788113
124	4.005223229
125	4.004913863
126	4.004200373
127	4.003234345
128	4.002025561
129	3.999920049
130	3.997246003
131	3.995609269
132	3.994146656
133	3.993098876
134	3.99217937
135	3.990975765
136	3.990016761
137	3.988770965
138	3.987420071
139	3.982816493
140	3.981868615
141	3.981050904
142	3.979958151
143	3.978316727
144	3.977443995
145	3.976517648
146	3.976011858
147	3.974747492
148	3.971135414
149	3.968589449
150	3.967764261
151	3.964753002
152	3.962806339
153	3.961001428
154	3.960173105
155	3.959362662
156	3.958319305
157	3.95732291
158	3.952822003
159	3.951871778
160	3.951039701
161	3.950040441
162	3.949260407
163	3.945625672
164	3.944627168
165	3.943957204
166	3.943278766
167	3.94232335
168	3.938455613
169	3.937708484
170	3.937035801
171	3.936322419
172	3.934232692
173	3.932920463
174	3.931511152
175	3.929708006
176	3.928958551
177	3.927657581
178	3.926713055
179	3.925698144
180	3.924834765
181	3.924215121
182	3.923516451
183	3.922293339
184	3.921729953
185	3.920924619
186	3.920308554
187	3.918569507
188	3.916804849
189	3.915966587
190	3.915214358
191	3.913794135
192	3.913175694
193	3.912600376
194	3.911416024
195	3.910689033
196	3.910116693
197	3.909082567
198	3.908234394
199	3.904855936
200	3.903496266
201	3.90146096
202	3.900586192
203	3.899694898
204	3.898288539
205	3.897373451
206	3.896464272
207	3.89363237
208	3.890777231
209	3.889728076
210	3.889110827
211	3.888206965
212	3.886991238
213	3.886209792
214	3.885111905
215	3.884578519
216	3.88395089
217	3.882974847
218	3.882336811
219	3.881415852
220	3.880566685
221	3.879723601
222	3.878185368
223	3.877639457
224	3.87629339
225	3.875715725
226	3.874927787
227	3.874016124
228	3.873003997
229	3.872427654
230	3.871750331
231	3.870567842
232	3.869689775
233	3.869006103
234	3.868516692
235	3.867856305
236	3.867202396
237	3.866800731
238	3.866193069
239	3.865555072
240	3.865010333
241	3.864351341
242	3.863732573
243	3.863044955
244	3.862047074
245	3.861475349
246	3.860950612
247	3.860347412
248	3.859608459
249	3.859190883
250	3.858750936
251	3.858247936
252	3.857496871
253	3.857047542
254	3.856409231
255	3.855725344
256	3.8554114
257	3.854692984
258	3.854355724
259	3.853420284
260	3.85248911
261	3.85133514
262	3.848909383
263	3.84832111
264	3.847427021
265	3.846816683
266	3.846161973
267	3.845491975
268	3.84439691
269	3.843924789
270	3.843413308
271	3.842829107
272	3.841862798
273	3.841256578
274	3.84071216
275	3.840144517
276	3.839550475
277	3.839134513
278	3.83874425
279	3.838181555
280	3.837692435
281	3.837236187
282	3.836872202
283	3.836463912
284	3.83552318
285	3.834277497
286	3.833607975
287	3.832512199
288	3.831955169
289	3.831550144
290	3.830883597
291	3.830233414
292	3.829667633
293	3.829142189
294	3.828531343
295	3.828013014
296	3.827355161
297	3.826902731
298	3.826297753
299	3.825657487
300	3.825178064
301	3.824712996
302	3.824158833
303	3.823679188
304	3.823035534
305	3.822711889
306	3.822129785
307	3.821621879
308	3.820551966
309	3.820107365
310	3.819497325
311	3.818945225
312	3.818608473
313	3.818066269
314	3.817576616
315	3.817041247
316	3.816516036
317	3.815785073
318	3.815346081
319	3.814853663
320	3.81415745
321	3.813669599
322	3.813067158
323	3.812269228
324	3.811838757
325	3.811524881
326	3.810796258
327	3.810257397
328	3.808860193
329	3.808551912
330	3.808151407
331	3.807664967
332	3.807198011
333	3.806736649
334	3.8063367
335	3.805793182
336	3.805403512
337	3.804904621
338	3.803138957
339	3.802762394
340	3.801969794
341	3.801682275
342	3.801316465
343	3.800293341
344	3.799760145
345	3.799188816
346	3.798531694
347	3.798033485
348	3.797639491
349	3.797205941
350	3.796726138
351	3.796321191
352	3.796009611
353	3.795436127
354	3.794866395
355	3.794555213
356	3.793971038
357	3.793692462
358	3.793074792
359	3.792721867
360	3.792142497
361	3.791732094
362	3.791431428
363	3.790748036
364	3.790079362
365	3.789661839
366	3.789192442
367	3.788598494
368	3.787954599
369	3.787181059
370	3.786785037
371	3.786234502
372	3.785878992
373	3.785446403
374	3.784708172
375	3.784130966
376	3.783871683
377	3.783477194
378	3.783019775
379	3.782429023
380	3.781988305
381	3.781246831
382	3.780813671
383	3.78042637
384	3.779758415
385	3.779431524
386	3.778943658
387	3.778509063
388	3.778147689
389	3.77764117
390	3.77724401
391	3.77647783
392	3.776104769
393	3.775714823
394	3.775231036
395	3.774637025
396	3.77421274
397	3.77386604
398	3.773192072
399	3.772744437
400	3.77238196
401	3.772085755
402	3.771404829
403	3.770756147
404	3.770362514
405	3.769891477
406	3.76940552
407	3.769032357
408	3.768534106
409	3.767889929
410	3.767425527
411	3.766375145
412	3.765885374
413	3.764905035
414	3.764444651
415	3.764056588
416	3.76353359
417	3.762726282
418	3.762397787
419	3.762151908
420	3.76174477
421	3.761219116
422	3.760793753
423	3.760448453
424	3.760050019
425	3.75962924
426	3.758969421
427	3.758696465
428	3.758176403
429	3.757688615
430	3.757088253
431	3.756658893
432	3.756380171
433	3.75560459
434	3.755247085
435	3.754781357
436	3.754224108
437	3.753783834
438	3.753278901
439	3.752811521
440	3.75236937
441	3.751734356
442	3.751295574
443	3.750810192
444	3.750485692
445	3.750199528
446	3.749860275
447	3.749499542
448	3.749095325
449	3.748578805
450	3.748321713
451	3.747991933
452	3.747602263
453	3.746907766
454	3.746274411
455	3.745803994
456	3.743972768
457	3.743549733
458	3.742969617
459	3.742578645
460	3.742220841
461	3.741767438
462	3.74131793
463	3.740999126
464	3.740679329
465	3.740044384
466	3.739473387
467	3.739052984
468	3.738766488
469	3.738159488
470	3.737692089
471	3.737309318
472	3.73680865
473	3.736413005
474	3.736064398
475	3.735706572
476	3.735413137
477	3.73509769
478	3.734800515
479	3.73441428
480	3.734036486
481	3.73366978
482	3.733351325
483	3.733068185
484	3.73264664
485	3.732341774
486	3.732049895
487	3.731620771
488	3.731229634
489	3.730702736
490	3.730185622
491	3.72970136
492	3.729457717
493	3.728860901
494	3.728578518
495	3.728241959
496	3.727805908
497	3.727393168
498	3.726390485
499	3.725955233
500	3.724963336
501	3.72460911
502	3.724244218
503	3.723939659
504	3.723560846
505	3.723169405
506	3.7226865
507	3.722328414
508	3.721672671
509	3.721314582
510	3.720668902
511	3.72044173
512	3.72023905
513	3.719931708
514	3.719616695
515	3.71937961
516	3.718817206
517	3.718407282
518	3.717924007
519	3.717475347
520	3.717120156
521	3.716755617
522	3.716371672
523	3.71598416
524	3.715179767
525	3.714567474
526	3.714358184
527	3.714074631
528	3.713767083
529	3.713383745
530	3.712926644
531	3.712528216
532	3.712214554
533	3.711794579
534	3.711343151
