iter	Passed	Remaining
0	197	196863
1	227	113559
2	244	81243
3	257	64133
4	270	53814
5	281	46633
6	294	41717
7	305	37933
8	317	34942
9	327	32395
10	338	30449
11	349	28757
12	359	27304
13	371	26191
14	382	25142
15	391	24098
16	409	23650
17	424	23149
18	438	22623
19	451	22130
20	466	21759
21	479	21337
22	491	20862
23	504	20525
24	518	20224
25	529	19853
26	540	19465
27	554	19265
28	568	19028
29	581	18806
30	596	18656
31	607	18364
32	619	18162
33	632	17977
34	645	17804
35	658	17630
36	671	17473
37	683	17292
38	696	17162
39	709	17020
40	718	16814
41	731	16681
42	744	16580
43	756	16430
44	766	16272
45	779	16157
46	792	16061
47	800	15867
48	814	15816
49	828	15745
50	840	15648
51	852	15537
52	862	15418
53	872	15290
54	881	15140
55	890	15018
56	900	14895
57	907	14746
58	915	14608
59	923	14471
60	931	14340
61	939	14209
62	948	14107
63	956	13996
64	964	13877
65	972	13763
66	980	13659
67	988	13548
68	997	13458
69	1004	13345
70	1012	13242
71	1019	13139
72	1027	13041
73	1036	12972
74	1045	12890
75	1054	12825
76	1065	12774
77	1074	12704
78	1084	12638
79	1094	12583
80	1102	12511
81	1112	12451
82	1119	12372
83	1130	12324
84	1138	12259
85	1148	12210
86	1159	12162
87	1168	12114
88	1181	12092
89	1190	12032
90	1201	11999
91	1215	11996
92	1231	12008
93	1245	12005
94	1260	12009
95	1274	12001
96	1288	11994
97	1300	11969
98	1313	11955
99	1326	11939
100	1339	11922
101	1350	11885
102	1361	11856
103	1373	11829
104	1382	11782
105	1391	11734
106	1399	11681
107	1409	11639
108	1420	11614
109	1429	11563
110	1439	11526
111	1448	11487
112	1457	11438
113	1466	11395
114	1476	11365
115	1487	11336
116	1496	11294
117	1505	11252
118	1514	11211
119	1522	11167
120	1532	11131
121	1540	11089
122	1549	11051
123	1557	11003
124	1567	10972
125	1575	10929
126	1585	10900
127	1595	10866
128	1607	10853
129	1619	10836
130	1631	10825
131	1640	10787
132	1653	10777
133	1666	10769
134	1682	10779
135	1695	10768
136	1705	10740
137	1717	10725
138	1726	10694
139	1735	10659
140	1744	10628
141	1752	10586
142	1761	10556
143	1769	10517
144	1777	10483
145	1785	10444
146	1794	10415
147	1802	10376
148	1810	10341
149	1820	10315
150	1828	10280
151	1836	10246
152	1844	10213
153	1858	10208
154	1872	10208
155	1904	10301
156	1920	10313
157	1931	10294
158	1945	10292
159	1957	10275
160	1966	10247
161	1976	10224
162	1986	10201
163	2000	10196
164	2010	10172
165	2020	10152
166	2029	10122
167	2039	10098
168	2049	10076
169	2057	10046
170	2065	10013
171	2073	9982
172	2083	9960
173	2091	9928
174	2101	9909
175	2110	9881
176	2120	9858
177	2129	9833
178	2138	9809
179	2147	9783
180	2155	9751
181	2163	9723
182	2170	9690
183	2178	9660
184	2185	9628
185	2194	9601
186	2202	9573
187	2210	9549
188	2217	9516
189	2224	9484
190	2232	9454
191	2239	9422
192	2247	9396
193	2253	9364
194	2262	9338
195	2269	9308
196	2277	9281
197	2284	9251
198	2293	9230
199	2301	9207
200	2314	9198
201	2323	9177
202	2332	9155
203	2340	9133
204	2348	9107
205	2357	9085
206	2364	9056
207	2373	9035
208	2381	9012
209	2391	8995
210	2398	8967
211	2406	8946
212	2414	8922
213	2423	8899
214	2430	8874
215	2438	8852
216	2445	8825
217	2454	8805
218	2461	8779
219	2470	8760
220	2477	8734
221	2485	8711
222	2493	8687
223	2501	8666
224	2510	8646
225	2519	8628
226	2527	8606
227	2536	8589
228	2544	8565
229	2552	8546
230	2560	8522
231	2568	8504
232	2577	8484
233	2585	8464
234	2592	8439
235	2600	8419
236	2607	8395
237	2615	8373
238	2622	8351
239	2630	8329
240	2637	8305
241	2644	8282
242	2654	8269
243	2663	8253
244	2672	8236
245	2681	8220
246	2690	8201
247	2699	8185
248	2708	8168
249	2718	8155
250	2728	8142
251	2738	8127
252	2749	8117
253	2758	8102
254	2768	8088
255	2780	8081
256	2789	8065
257	2799	8052
258	2809	8037
259	2819	8026
260	2829	8012
261	2838	7995
262	2848	7981
263	2857	7965
264	2865	7947
265	2874	7932
266	2882	7914
267	2891	7896
268	2898	7876
269	2906	7857
270	2913	7838
271	2921	7820
272	2931	7805
273	2939	7789
274	2948	7772
275	2958	7759
276	2965	7740
277	2974	7725
278	2981	7705
279	2990	7689
280	2997	7668
281	3006	7653
282	3013	7634
283	3021	7618
284	3029	7601
285	3038	7585
286	3045	7566
287	3054	7551
288	3061	7530
289	3069	7515
290	3076	7496
291	3084	7479
292	3091	7460
293	3099	7442
